Time(UTC),Symbol,Interval,Funding Rate
2021-08-21 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-21 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-21 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-20 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-20 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-20 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-19 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-19 08:00:00,BTCUSDT,every 8 hours,0.00021109
2021-08-19 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-18 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-18 08:00:00,BTCUSDT,every 8 hours,0.00034051
2021-08-18 00:00:00,BTCUSDT,every 8 hours,0.00032726
2021-08-17 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-17 08:00:00,BTCUSDT,every 8 hours,0.00010737
2021-08-17 00:00:00,BTCUSDT,every 8 hours,0.00029516
2021-08-16 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-16 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-16 00:00:00,BTCUSDT,every 8 hours,0.00020857
2021-08-15 16:00:00,BTCUSDT,every 8 hours,0.0003562
2021-08-15 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-15 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-14 16:00:00,BTCUSDT,every 8 hours,0.00012532
2021-08-14 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-14 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-13 16:00:00,BTCUSDT,every 8 hours,-0.00001027
2021-08-13 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-13 00:00:00,BTCUSDT,every 8 hours,0.0002463
2021-08-12 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-12 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-12 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-11 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-11 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-11 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-10 16:00:00,BTCUSDT,every 8 hours,0.00011678
2021-08-10 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-10 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-09 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-09 08:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-09 00:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-08 16:00:00,BTCUSDT,every 8 hours,0.0001
2021-08-08 08:00:00,BTCUSDT,every 8 hours,0.0001
