Time(UTC),Symbol,Interval,Funding Rate
2021-08-21 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-21 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-21 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-20 16:00:00,ETHUSDT,every 8 hours,0.00019105
2021-08-20 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-20 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-19 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-19 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-19 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-18 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-18 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-18 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-17 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-17 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-17 00:00:00,ETHUSDT,every 8 hours,0.00036678
2021-08-16 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-16 08:00:00,ETHUSDT,every 8 hours,0.00018623
2021-08-16 00:00:00,ETHUSDT,every 8 hours,0.00023677
2021-08-15 16:00:00,ETHUSDT,every 8 hours,0.00031081
2021-08-15 08:00:00,ETHUSDT,every 8 hours,0.00035487
2021-08-15 00:00:00,ETHUSDT,every 8 hours,0.00041869
2021-08-14 16:00:00,ETHUSDT,every 8 hours,0.00041696
2021-08-14 08:00:00,ETHUSDT,every 8 hours,0.00018543
2021-08-14 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-13 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-13 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-13 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-12 16:00:00,ETHUSDT,every 8 hours,0.00033407
2021-08-12 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-12 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-11 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-11 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-11 00:00:00,ETHUSDT,every 8 hours,0.00040658
2021-08-10 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-10 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-10 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-09 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-09 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-09 00:00:00,ETHUSDT,every 8 hours,0.000189
2021-08-08 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-08 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-08 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-07 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-07 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-07 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-06 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-06 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-06 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-05 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-05 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-05 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-04 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-04 08:00:00,ETHUSDT,every 8 hours,0.00001079
2021-08-04 00:00:00,ETHUSDT,every 8 hours,-0.00006333
2021-08-03 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-03 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-03 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-02 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-02 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-02 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-01 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-01 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-08-01 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-31 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-31 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-31 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-30 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-30 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-30 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-29 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-29 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-29 00:00:00,ETHUSDT,every 8 hours,-0.00000202
2021-07-28 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-28 08:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-28 00:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-27 16:00:00,ETHUSDT,every 8 hours,0.0001
2021-07-27 08:00:00,ETHUSDT,every 8 hours,0.0001
